firstName,lastName,company,active,contactEmail
Lorenzo,Parsons,ExampleCo,TRUE,lorenzo.parsons@example.com
Dana,Copeland,ExampleCo,TRUE,dana.copeland@example.com
Johnnie,Snyder,ExampleCo,TRUE,johnnie.snyder@example.com
Brad,Carpenter,ExampleCo,TRUE,brad.carpenter@example.com
Julian,Houston,ExampleCo,TRUE,julian.houston@example.com
Jo,Hughes,ExampleCo,TRUE,jo.hughes@example.com
Barbara,Kim,ExampleCo,TRUE,barbara.kim@example.com
Dana,Thompson,ExampleCo,TRUE,dana.thompson@example.com
Sophia,Cole,ExampleCo,TRUE,sophia.cole@example.com
Sean,Flores,ExampleCo,TRUE,sean.flores@example.com
Misty,Estrada,ExampleCo,TRUE,misty.estrada@example.com
Charlotte,Hale,ExampleCo,TRUE,charlotte.hale@example.com
Joel,Chapman,ExampleCo,TRUE,joel.chapman@example.com
Lucy,Gray,ExampleCo,TRUE,lucy.gray@example.com
Lisa,Perez,ExampleCo,TRUE,lisa.perez@example.com
Dwayne,Mccoy,ExampleCo,TRUE,dwayne.mccoy@example.com
Dean,Green,ExampleCo,TRUE,dean.green@example.com
Omar,Hammond,ExampleCo,TRUE,omar.hammond@example.com
Ralph,Summers,ExampleCo,TRUE,ralph.summers@example.com
Brooke,Harrison,ExampleCo,TRUE,brooke.harrison@example.com
Dora,Strickland,ExampleCo,TRUE,dora.strickland@example.com
Thomas,Ballard,ExampleCo,TRUE,thomas.ballard@example.com
Drew,Cook,ExampleCo,TRUE,drew.cook@example.com
Roxanne,Perry,ExampleCo,TRUE,roxanne.perry@example.com
April,Brock,ExampleCo,TRUE,april.brock@example.com
Ernestine,Ortega,ExampleCo,TRUE,ernestine.ortega@example.com
Elvira,Ortiz,ExampleCo,TRUE,elvira.ortiz@example.com
Alberta,Fleming,ExampleCo,TRUE,alberta.fleming@example.com
Miguel,Nunez,ExampleCo,TRUE,miguel.nunez@example.com
Jesus,Cobb,ExampleCo,TRUE,jesus.cobb@example.com
Vicki,Smith,ExampleCo,TRUE,vicki.smith@example.com
